Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
WWmg8GFgLWmjFMGLcJ6Bz	Hatchet of Body	MON105 – U	8gnTTBph8gTGDDbrr9Mkf	Chane	MON154 – U	No		
QJMbmkbp9hT8bWKbkjCdm	Levia, Shadowborn Abomination	MON119 – F	7DrgBnLtbpFqnQRWjNfTG	Levia	MON120 – F	No		
nhg9QWDnCgHRgBWPwbJHb	Levia, Shadowborn Abomination	MON119 – U	fp8QBWGwtHdBFkcNTMtmw	Levia	MON120 – U	No		
7DrgBnLtbpFqnQRWjNfTG	Levia	MON120 – F	gBrgqQk9KftpRN6f9rmDB	Ravenous Meataxe	MON221 – F	No		
fp8QBWGwtHdBFkcNTMtmw	Levia	MON120 – U	gP7bp9zBnthqpTn6T6HMb	Ravenous Meataxe	MON221 – U	No		
Cr77pwRRdqQk9mhrJfkDw	Chane, Bound by Shadow	MON153 – F	CJLzQDwhhqWJtCgqwNP9W	Chane	MON154 – F	No		
fbdtwHBhkJDzQnFt8ddmg	Chane, Bound by Shadow	MON153 – U	8gnTTBph8gTGDDbrr9Mkf	Chane	MON154 – U	No		
CJLzQDwhhqWJtCgqwNP9W	Chane	MON154 – F	QGkFg8WRktdcbgcDN7mPC	Galaxxi Black	MON155 – F	No		
8gnTTBph8gTGDDbrr9Mkf	Chane	MON154 – U	wKwnQjcqGHcrRF9mKrkjJ	Galaxxi Black	MON155 – U	No		
QGkFg8WRktdcbgcDN7mPC	Galaxxi Black	MON155 – F	RBgpLfthF7rMmwKtrbJGz	Soul Shackle	MON186 – F	No		
wKwnQjcqGHcrRF9mKrkjJ	Galaxxi Black	MON155 – U	MkrGPHzTFDPNBPFf7WMN9	Soul Shackle	MON186 – U	No		
RBgpLfthF7rMmwKtrbJGz	Soul Shackle	MON186 – F	gBrgqQk9KftpRN6f9rmDB	Ravenous Meataxe	MON221 – F	No		
MkrGPHzTFDPNBPFf7WMN9	Soul Shackle	MON186 – U	gP7bp9zBnthqpTn6T6HMb	Ravenous Meataxe	MON221 – U	No		
kKNhkFNRm8Dh8gpBh9Rb9	Blasmophet, the Soul Harvester	MON219 – F	w8F6mq6MMMJhQKDgHbHc7	 Ursur, the Soul Reaper	MON220 – F	No		
